Activity Time(s),Activity (Bq/ml)
0,0
0.6,0.820583827904864
1.2,3.01548413026174
1.8,6.12080116418471
2.4,9.79521137784914
3,13.7899526648987
3.6,17.9259470282157
4.2,22.0763838697282
4.8,26.1534790142611
5.4,30.0984250799092
6,33.8737792152526
6.6,37.457710867333
7.2,40.8396676525174
7.8,44.017121186085
8.4,46.9931342579746
9,48.9539678487684
9.6,49.3551796481297
10.2,48.6714261772886
10.8,47.2555446303406
11.4,45.3680605897867
12,43.1997099375172
12.6,40.8886130452533
13.2,38.5333567917771
13.8,36.2029465916814
14.4,33.9443656602928
15,31.7883062470593
15.6,29.7535053208988
16.2,27.8500158083389
16.8,26.0816667752454
17.4,24.4479063874336
18,22.9451758517282
18.6,21.567927580318
19.2,20.3093740472196
19.8,19.1620333062538
20.4,18.1181214502085
21,17.1698302873459
21.6,16.309519332553
22.2,15.5298441955927
22.8,14.8238380915615
23.4,14.184959110449
24,13.6071127659592
24.6,13.0846569703233
25.2,12.6123947768776
25.8,12.1855588617372
26.4,11.7997906773635
27,11.4511164256276
27.6,11.1678329992654
28.2,10.9681926765969
28.8,10.8311801721745
29.4,10.7408289728444
30,10.6850301291351
30.6,10.6546199647884
31.2,10.6426816103838
31.8,10.6440104371166
32.4,10.6547051036945
33,10.6718548557162
33.6,10.6933005639129
34.2,10.717452239491
34.8,10.7431497929705
35.4,10.7695568923503
36,10.7960801457844
36.6,10.8223076509331
37.2,10.8479623464391
37.8,10.8728666692726
38.4,10.8650042474023
39,10.8027889042643
39.6,10.7042465820263
40.2,10.5826625847337
40.8,10.4477404011638
41.4,10.3064851561432
42,10.1638763638943
42.6,10.0233795436443
43.2,9.88733466855168
43.8,9.75725053297462
44.4,9.63402731042507
45,9.51812435206401
45.6,9.40968627269215
46.2,9.30863730356703
46.8,9.21475154096155
47.4,9.1277049188947
48,9.04711335561057
48.6,8.97256046775255
49.2,8.90361743830241
49.8,8.83985700635109
50.4,8.78086307425428
51,8.72623706666736
51.6,8.67560190025752
52.2,8.62860421255103
52.8,8.58491533805673
53.4,8.54423139776046
54,8.50627277530381
54.6,8.47078318274517
55.2,8.43752846546681
55.8,8.40629525549218
56.4,8.37688955211654
57,8.34913528595976
57.6,8.32287290551199
58.2,8.29795801257441
58.8,8.27426006364036
59.4,8.25166114740959
60,8.23005484366345
60.6,8.20934516518297
61.2,8.1894455819075
61.8,8.17027812483816
62.4,8.15177256608193
63,8.13386567075289
63.6,8.11650051608078
64.2,8.09962587293344
64.8,8.08319564497461
65.4,8.06716836080159
66,8.05150671460154
66.6,8.03617715110546
67.2,8.02114949088328
67.8,8.00639659229977
68.4,7.99189404672823
69,7.97761990389042
69.6,7.96355442445227
70.2,7.94967985725286
70.8,7.93598023877675
71.4,7.92244121269699
72,7.90904986751668
72.6,7.8957945905221
73.2,7.88266493643049
73.8,7.86965150927026
74.4,7.85674585617354
75,7.84394037188924
75.6,7.83122821294211
76.2,7.81860322046904
76.8,7.8060598508598
77.4,7.79359311341629
78,7.78119851432264
78.6,7.76887200628928
79.2,7.75660994329792
79.8,7.7444090399318
80.4,7.73226633482773
81,7.7201791578326
81.6,7.70814510048955
82.2,7.69616198951665
82.8,7.68422786297489
83.4,7.67234094885303
84,7.66049964582447
84.6,7.64870250595583
85.2,7.6369482191695
85.8,7.62523559928231
86.4,7.61356357146046
87,7.60193116094706
87.6,7.59033748293328
88.2,7.57878173345711
88.8,7.56726318122537
89.4,7.55578116026551
90,7.54433506332282
90.6,7.53292433592761
91.2,7.52154847106424
91.8,7.51020700438101
92.4,7.49889950988607
93,7.48762559607994
93.6,7.47638490248041
94.2,7.46517709650001
94.8,7.45400187064021
95.4,7.44285893997035
96,7.43174803986218
96.6,7.42066892395434
97.2,7.40962136232327
97.8,7.39860513983962
98.4,7.38762005469144
99,7.37666591705707
99.6,7.36574254791273
100.2,7.35484977796096
100.8,7.34398744666776
101.4,7.33315540139733
102,7.32235349663462
102.6,7.31158159328662
103.2,7.30083955805451
103.8,7.29012726286949
104.4,7.27944458438573
105,7.26879140352475
105.6,7.25816760506594
106.2,7.24757307727858
106.8,7.23700771159113
107.4,7.22647140229401
108,7.21596404627247
108.6,7.2054855427665
109.2,7.19503579315505
109.8,7.18461470076205
110.4,7.1742221706821
111,7.16385810962372
111.6,7.15352242576848
112.2,7.14321502864438
112.8,7.13293582901192
113.4,7.1226847387618
114,7.1124616708228
114.6,7.10226653907906
115.2,7.09209925829562
115.8,7.08195974405147
116.4,7.07184791267932
117,7.06176368121143
117.6,7.0517069673309
118.2,7.04167768932776
118.8,7.03167576605954
119.4,7.02170111691573
120,7.01175366178579
120.6,7.00183332103035
121.2,6.99194001545525
121.8,6.98207366628821
122.4,6.97223419515772
123,6.96242152407406
123.6,6.95263557541222
124.2,6.94287627189639
124.8,6.93314353658606
125.4,6.92343729286343
126,6.91375746442199
126.6,6.90410397525633
127.2,6.89447674965275
127.8,6.88487571218091
128.4,6.87530078768619
129,6.86575190128275
129.6,6.85622897834731
130.2,6.84673194451345
130.8,6.83726072566642
131.4,6.82781524793842
132,6.81839543770435
132.6,6.80900122157787
133.2,6.79963252640783
